1stFlrSF,GarageArea,GrLivArea,KitchenQual,YearBuilt,YearRemodAdd
988,276,988,TA,1950,1950
1844,620,1844,Gd,2005,2006
1258,528,1258,Gd,1971,2004
1288,500,1288,Ex,1996,1996
1634,866,1634,Gd,2006,2006
855,440,1322,TA,1974,1974
707,403,1414,Gd,2004,2004
1504,478,1504,Gd,1996,1996
1670,690,1670,Gd,2006,2006
1516,518,2167,Gd,1974,2003
1069,440,1069,TA,1977,1977
1072,525,1072,TA,2005,2006
1572,995,1572,TA,1963,1963
1188,456,1869,TA,1890,1996
882,0,882,TA,1956,1956
1922,676,1922,Gd,2005,2006
780,352,780,TA,1972,1972
1021,300,1601,TA,1958,1987
1530,430,1530,Gd,2005,2005
833,0,833,TA,1985,1985
679,308,1183,TA,1948,2002
1040,260,1040,TA,1962,2010
1466,1052,2828,Gd,2006,2007
1032,288,1252,TA,1950,1950
1246,305,1246,Gd,1959,1994
904,180,904,TA,1926,2004
966,416,1652,TA,1915,1950
1036,288,1268,TA,1949,1950
1172,342,1913,TA,1928,1950
1358,484,1358,Gd,2009,2010
1657,484,1657,TA,1970,1970
838,275,838,Fa,1918,2000
1022,390,2060,Gd,1999,1999
764,474,1626,Gd,2003,2004
663,299,1352,TA,1969,1969
968,240,1376,TA,1941,1950
849,240,1660,TA,1934,1995
616,432,1412,Gd,2006,2007
756,216,1469,TA,1906,1995
774,400,1430,TA,2000,2000
1094,495,1094,TA,1953,1953
1826,758,1826,Gd,2005,2006
672,576,924,TA,1949,2006
1502,528,1502,Gd,1985,1985
616,603,1688,Gd,1997,1997
1262,572,1262,Gd,2006,2006
1905,788,1905,Ex,2006,2006
1153,541,2031,Gd,1998,1999
1350,478,1350,TA,1974,1974
941,613,1829,Gd,2003,2003
965,300,965,TA,1965,1965
672,280,924,Fa,1941,1950
1055,905,2263,Gd,2001,2002
1236,540,2108,Gd,1935,1986
1242,528,1242,TA,1973,1973
989,240,1573,Gd,1935,1995
884,434,2035,Gd,2001,2001
1232,516,1232,TA,1984,1984
1098,483,1964,TA,1976,1976
792,0,1140,TA,1910,2004
894,450,894,Gd,1967,2003
1512,619,2654,Gd,1968,1984
768,396,768,TA,1972,2003
672,0,912,TA,1947,1950
1040,504,2080,Fa,1969,1969
1040,576,1040,Gd,1996,1996
1149,216,1616,Gd,1926,2004
1047,273,1047,TA,1885,1995
1803,484,1803,TA,1957,2000
832,528,832,Gd,1954,1954
894,384,894,TA,1966,1966
596,189,1192,TA,1920,1950
1850,772,1850,Gd,2004,2005
899,288,899,Gd,1967,2004
892,264,892,TA,1966,1966
1260,506,2291,TA,1910,1998
1075,360,2138,TA,1898,1965
926,470,1604,TA,1997,1998
887,422,2021,Gd,2006,2006
938,308,938,TA,1975,1980
912,216,1426,Gd,1918,1998
928,400,1920,TA,1948,1950
1098,260,1098,TA,1955,1955
729,0,729,TA,1935,2003
1252,528,1252,Gd,1959,1959
1584,792,1584,TA,1967,1967
1506,592,1506,Ex,2008,2008
1709,506,1709,Gd,1999,2000
1092,299,1092,TA,1957,1957
1746,758,1746,Ex,2006,2007
1304,667,2287,TA,1953,1953
789,200,789,TA,1926,1950
1041,270,1041,TA,1959,1959
993,431,1908,Gd,2002,2002
1010,390,2267,Gd,2002,2002
875,180,875,TA,1931,1993
1526,364,1526,TA,1957,2002
1567,714,1567,Gd,1977,1977
1734,1020,2822,Ex,2008,2009
689,360,1378,Gd,1928,2005
1281,368,1738,TA,1920,2007
1164,521,2060,TA,1988,1989
1128,286,1128,TA,1954,1954
840,440,1720,Gd,2004,2004
1050,338,1050,TA,1956,1956
1114,576,1114,Gd,2003,2004
1053,750,1053,Ex,1958,1991
1593,682,1593,Ex,2001,2002
1214,318,1214,TA,1967,1967
816,264,816,Gd,1982,2008
1535,400,1535,TA,1979,1979
1360,795,3112,Gd,1918,1990
1079,685,1919,Gd,2006,2006
1097,672,1097,TA,1994,1995
983,423,1750,TA,1940,1985
483,288,987,TA,1972,1972
981,576,981,TA,1971,1971
1700,447,1700,Gd,1959,1959
816,308,816,TA,1957,1957
944,622,1840,Gd,2001,2001
1291,576,2521,TA,1973,1973
1002,902,1002,TA,1970,1970
841,294,841,TA,1950,1950
996,564,996,Gd,1992,1992
1713,856,1713,Ex,2004,2005
1412,576,1412,Gd,1988,1988
1236,923,1236,TA,1957,1996
1040,648,1040,TA,1963,1963
1616,608,1616,Gd,1995,1996
1414,601,1414,TA,1958,2002
975,576,1950,Gd,1997,1998
1086,490,1086,TA,1954,2003
1072,528,1576,Gd,1923,2004
768,624,768,TA,1970,1970
1381,676,1381,Gd,1972,2006
1284,647,2169,Gd,2002,2002
720,287,720,TA,1949,1950
1584,520,2792,TA,1920,1950
936,576,936,TA,1953,1953
1181,588,1181,TA,1972,1972
1689,954,1689,Gd,2007,2007
948,280,948,TA,1954,1954
756,440,1512,Gd,2000,2000
894,450,894,TA,1968,1968
932,644,1852,Gd,2009,2009
845,290,845,TA,1957,1957
774,0,774,Gd,1931,2006
2053,666,3238,Gd,1995,1996
1232,632,1232,Gd,2007,2007
1164,528,1164,TA,1969,1969
912,160,1248,TA,1930,1950
1687,572,1687,TA,1948,1950
860,440,1960,Gd,2002,2002
546,286,1092,TA,1970,1970
894,400,894,TA,1954,1954
1479,558,1479,Gd,2003,2003
1060,270,1060,Gd,1968,2001
1436,484,1436,Gd,2004,2004
1044,504,1044,Fa,1952,1952
880,320,1768,TA,1914,1970
816,432,816,TA,1930,2007
774,400,1430,TA,2000,2000
1867,303,1867,TA,1955,1993
1500,648,1500,Gd,2006,2006
1100,312,1100,TA,1960,1960
816,264,816,TA,1982,1982
1328,308,1328,TA,1959,1959
1728,842,2296,Ex,2008,2008
864,572,864,TA,1955,1990
1266,453,1266,Gd,2005,2005
858,0,858,TA,1971,1971
832,506,1710,Gd,1993,1993
772,264,1123,TA,1939,1950
953,460,1647,TA,1999,2000
874,288,874,TA,1968,1968
1788,522,1788,Ex,2001,2001
1839,416,1839,Gd,1957,2004
1088,484,1868,Gd,1976,1976
1712,588,1712,TA,1959,2005
561,462,1229,TA,1980,1980
1600,890,1600,Gd,2007,2007
916,460,1600,TA,1997,1997
896,240,1344,TA,1936,1950
1126,540,1126,Ex,1977,1977
923,264,923,TA,1984,1985
616,205,616,TA,1921,1950
1800,0,1800,TA,1961,1961
1505,505,1505,TA,1953,1953
1647,621,1647,Gd,1977,1977
1132,451,1132,Gd,2005,2005
928,470,1764,Gd,1997,1997
1088,240,1529,TA,1945,1950
1699,336,2447,Gd,1919,1990
1504,457,1504,Gd,2005,2006
1163,220,1163,TA,1955,2005
769,440,1525,Gd,2000,2000
935,288,935,TA,1965,1965
813,270,813,Gd,1930,2005
1112,230,2008,Ex,1948,2002
1532,514,2329,Gd,1990,1990
910,282,1558,TA,1950,1950
832,528,1664,TA,1976,1976
2110,522,2110,Ex,1968,1968
905,684,1786,Gd,1997,1997
925,336,1475,TA,1977,1977
811,256,1387,Gd,1954,1954
976,380,1708,Gd,2004,2004
1085,440,1734,Gd,1962,1981
1766,520,2414,TA,1900,1970
933,493,1908,Gd,1994,1995
1283,506,1283,TA,1962,1980
1212,573,1212,Gd,2001,2001
952,672,1548,Ex,1925,2007
980,384,980,TA,1967,1967
1811,470,1811,Ex,1956,2004
1056,384,1056,TA,1966,1966
1234,484,1234,Gd,2007,2007
630,440,1302,TA,1970,1970
1035,0,1406,Fa,1920,1950
858,576,858,TA,1982,1982
1182,736,2324,Ex,2005,2006
910,414,910,Gd,1953,1996
798,442,1611,TA,1964,1964
684,400,1560,Gd,2005,2005
2020,630,2020,TA,1977,1977
1338,582,1338,Gd,2001,2001
1188,312,1188,TA,1962,1962
1459,527,1459,Gd,2002,2002
1306,533,2260,Gd,1996,1997
1430,605,1430,Gd,2001,2002
996,0,996,TA,1940,1969
1092,504,1092,TA,1964,1964
625,625,1250,Gd,2006,2007
864,572,1728,Gd,2004,2004
924,280,924,TA,1975,1975
1199,530,1199,Gd,1993,1993
948,300,948,TA,1968,1968
925,429,925,TA,1965,1965
835,366,835,TA,1920,1950
1580,610,2466,Gd,2004,2005
1216,487,2157,Gd,1966,1966
1060,572,1060,TA,1976,1976
2633,804,2633,Ex,2001,2002
1048,280,1048,TA,1922,1950
953,460,1664,TA,2000,2000
784,360,784,TA,1928,1950
1279,473,1279,TA,1977,1977
1229,284,1229,TA,1956,1956
1268,244,1268,TA,1954,1954
1428,480,1428,Gd,2007,2008
1125,352,1125,TA,1976,1976
1008,275,1008,TA,1954,1954
1630,860,1630,Ex,2008,2008
864,673,1728,Gd,2003,2003
1211,322,1211,TA,1968,1968
1040,286,1040,TA,1959,1959
1707,511,1707,TA,1981,1981
955,462,1632,TA,1998,1998
1392,528,1392,TA,1957,1996
1319,270,1319,TA,1953,1953
742,390,1484,Gd,2005,2005
971,300,971,TA,1969,1969
1062,539,1062,TA,1976,1976
980,0,980,TA,1975,1975
1405,478,1405,Gd,2003,2003
959,472,1671,TA,2000,2000
1074,495,1074,TA,1975,1975
1547,672,2320,TA,1948,1950
918,264,918,TA,1979,1979
1437,528,1437,Gd,1976,2004
1069,440,1069,TA,1977,1977
829,441,1556,TA,1968,1968
824,510,1894,Gd,2002,2003
1973,895,1973,Gd,2006,2006
1898,564,2978,Gd,1967,2007
848,420,848,Gd,2004,2004
804,400,1474,TA,1995,1996
1056,260,1056,TA,1954,2005
902,484,902,TA,1983,1983
1032,564,1032,TA,1978,1978
1077,338,1077,TA,1920,1950
1235,480,1235,TA,1961,1961
1442,719,1442,Gd,1990,1991
483,264,987,TA,1971,1971
1004,504,1004,TA,1977,1977
1006,0,1006,TA,1959,1959
936,0,1716,Fa,1912,2000
860,565,1720,Gd,2004,2004
960,308,960,Fa,1920,1950
1604,660,1604,Gd,2006,2006
2217,621,2217,Gd,1970,1970
1844,540,1844,Gd,1969,1969
799,380,1571,TA,1993,1994
1479,577,1479,Gd,1999,2000
1619,529,1786,TA,1965,1965
1632,338,1632,TA,1958,1988
866,578,1768,Gd,2007,2007
1096,299,1096,TA,1969,1969
1236,542,2093,TA,1986,1991
660,453,1348,TA,1966,1966
728,410,1456,Gd,2005,2005
1600,319,1600,TA,1957,1997
1700,544,1700,Gd,2003,2003
808,389,1593,TA,1992,1993
1363,288,1363,TA,1951,2000
855,440,1441,TA,1978,1978
1710,866,1710,Gd,2007,2008
1222,463,2110,Gd,1994,2002
725,475,1479,Gd,1976,2005
767,367,767,TA,1998,1998
664,426,1496,Gd,2006,2006
1567,648,1567,Ex,2006,2006
1148,308,1148,TA,1952,1952
1120,753,1970,Ex,2006,2006
1453,750,2810,Gd,1990,1990
1470,696,2630,Gd,1998,1998
1105,480,2274,TA,1960,1960
1261,433,1261,TA,1958,1958
1486,480,1486,TA,1964,1999
773,240,773,TA,1953,1953
1537,462,1537,Gd,1962,2005
866,546,1779,Gd,1998,1998
1225,0,1225,TA,1959,1959
848,420,848,Gd,2003,2003
780,198,1376,TA,1937,1950
742,440,1471,TA,1999,1999
869,0,869,Fa,1923,1958
729,440,1458,TA,1999,1999
894,440,894,TA,1974,1974
885,427,1718,TA,1998,1998
1701,611,1701,TA,1975,1981
864,576,864,TA,1972,1972
1094,512,1855,TA,1976,1994
1651,616,1651,TA,1986,1986
612,528,1224,Gd,2009,2009
928,288,928,TA,1957,1957
372,0,1092,Fa,1930,1950
832,546,1641,Ex,1925,1990
708,776,1416,TA,1968,1968
1058,736,1904,Ex,2005,2005
936,308,936,TA,1956,2000
716,452,1556,TA,1980,1980
864,400,864,TA,1951,1951
1654,900,1654,Gd,2002,2002
1416,576,1416,Gd,1918,2007
1268,856,2365,Gd,1999,1999
1067,436,1067,Gd,1950,1995
1318,539,1902,TA,1978,1978
1557,420,1557,Gd,2003,2004
1195,486,1839,TA,1998,1998
